Timestamp,Age,AgeGroup,Gender,DailyScreenTime(hours),AI_Usage_Time(hours/day),Primary_AI_Use,Reliance_On_AI_For_Learning,Problems_Solved_Before_AI,Problems_Solved_With_AI,SleepHours,PhysicalActivity(hours),StressLevel,ProductivityScore
,28,18-25,Female,6.1,2.5,Coding,Medium,3,27,6.7,1.5,Medium,89
,20,18-25,Male,5.9,1.3,Content Creation,Medium,3,26,7.9,0.8,Medium,85
,24,26-35,Male,5.8,0.8,Content Creation,Low,4,25,6.1,0.5,Medium,79
,22,36-45,Male,4.5,1.7,Content Creation,Medium,6,26,6.9,1.7,Medium,92
,18,26-35,Female,6.5,0.5,Content Creation,High,8,17,6.6,0.7,Medium,77
,34,26-35,Male,5.8,1.1,Coding,Low,8,24,7.3,2.0,Medium,87
,21,36-45,Male,4.2,3.7,Coding,Low,4,21,6.5,1.3,Medium,95
,33,26-35,Female,4.7,3.0,Learning,Medium,8,17,6.8,1.6,Medium,95
,24,26-35,Male,3.3,3.6,Learning,High,3,29,7.8,0.6,Low,95
,19,26-35,Female,4.6,1.2,Problem Solving,Low,10,20,6.5,1.9,Medium,89
,19,36-45,Female,5.6,1.0,Coding,High,10,15,5.4,0.2,Medium,78
,23,18-25,Male,3.2,3.5,Content Creation,Low,10,28,7.8,1.3,Low,95
,24,36-45,Female,4.0,3.5,Learning,Medium,7,19,7.5,0.5,Low,95
,23,26-35,Female,6.6,2.0,Learning,Medium,8,22,7.1,1.0,Medium,85
,26,36-45,Male,3.4,2.5,Learning,High,4,19,5.6,1.0,Low,94
,33,18-25,Female,6.7,2.7,Coding,High,8,22,5.0,1.2,High,84
,29,26-35,Male,4.1,3.1,Learning,Medium,7,20,6.3,1.6,Medium,95
,30,36-45,Female,4.9,1.4,Learning,Medium,6,12,5.6,1.6,Medium,86
,29,18-25,Female,7.3,3.0,Research,Medium,9,21,6.0,1.0,Medium,85
,22,18-25,Male,4.9,2.7,Research,Low,5,11,6.5,1.9,Medium,94
,19,18-25,Female,4.7,3.9,Problem Solving,Medium,4,22,7.5,1.1,Medium,95
,20,26-35,Male,2.5,1.9,Coding,Low,5,23,7.8,2.0,Low,95
,23,26-35,Male,4.4,1.2,Coding,Medium,10,18,7.7,0.6,Medium,88
,19,18-25,Female,6.3,1.5,Coding,Low,5,14,7.4,0.4,Medium,83
,20,26-35,Male,4.5,1.5,Problem Solving,Low,4,12,5.9,1.5,Medium,88
,25,18-25,Male,2.6,3.9,Coding,Low,4,21,5.2,1.1,Low,95
,24,18-25,Female,6.8,3.8,Research,Medium,4,19,7.3,0.8,Medium,91
,34,26-35,Female,3.2,1.8,Content Creation,Low,9,17,7.3,0.2,Low,92
,28,26-35,Female,4.6,2.7,Research,Low,5,23,6.6,1.0,Medium,93
,21,18-25,Female,4.8,1.4,Content Creation,Low,5,22,5.5,1.7,Medium,87
,20,26-35,Female,2.4,1.7,Coding,Low,3,19,5.9,1.1,Low,94
,23,36-45,Female,3.5,2.8,Coding,Low,6,26,6.6,1.1,Low,95
,20,18-25,Male,2.3,2.5,Learning,High,7,27,5.5,0.4,Low,95
,26,18-25,Female,7.8,3.2,Learning,High,7,28,6.8,1.6,Medium,87
,20,36-45,Female,2.5,1.2,Coding,High,6,15,5.0,0.4,Low,88
,18,36-45,Male,6.7,3.5,Content Creation,Medium,3,14,6.2,0.3,Medium,87
,26,36-45,Male,4.7,3.0,Coding,High,4,21,7.0,0.4,Medium,93
,32,26-35,Male,7.0,1.0,Coding,Low,3,29,5.2,2.0,High,79
,33,26-35,Male,4.9,1.7,Learning,Low,8,17,6.1,1.4,Medium,88
,33,18-25,Female,3.2,1.0,Research,Medium,9,10,5.4,0.6,Low,87
,24,18-25,Male,3.2,3.9,Coding,Medium,5,17,5.7,1.5,Low,95
,24,26-35,Female,7.8,3.7,Research,High,5,13,5.1,0.6,High,83
,25,26-35,Female,4.7,1.3,Problem Solving,Low,5,11,6.8,1.0,Medium,87
,32,18-25,Male,7.2,2.1,Content Creation,High,8,11,7.5,1.5,Medium,86
,32,18-25,Female,2.6,1.3,Coding,High,5,30,8.0,0.4,Low,94
,22,26-35,Male,3.5,2.5,Problem Solving,High,5,25,6.6,1.6,Low,95
,31,18-25,Male,2.5,3.0,Learning,High,5,11,7.7,1.9,Low,95
,27,18-25,Female,2.2,0.7,Coding,Medium,4,30,5.2,1.1,Low,89
,30,18-25,Female,6.4,1.8,Coding,Low,9,25,7.4,0.3,Medium,83
,34,18-25,Female,6.6,0.6,Learning,Medium,7,20,5.0,0.7,High,74
,19,18-25,Male,6.2,3.9,Research,Medium,10,26,6.2,0.0,Medium,89
,32,36-45,Female,7.0,2.2,Problem Solving,High,9,29,6.2,0.5,Medium,81
,35,36-45,Female,5.6,1.4,Content Creation,High,8,16,5.6,1.0,Medium,83
,30,26-35,Male,4.3,2.6,Problem Solving,Medium,8,11,7.9,1.3,Medium,95
,28,18-25,Male,3.1,2.0,Coding,High,6,28,7.0,1.8,Low,95
,20,26-35,Female,3.3,1.3,Problem Solving,Medium,7,13,7.1,1.2,Low,93
,35,26-35,Male,5.6,3.9,Research,Low,8,18,7.3,0.6,Medium,95
,24,26-35,Female,2.9,2.0,Research,High,7,25,5.7,0.1,Low,91
,30,36-45,Male,7.7,3.1,Coding,High,6,27,6.9,1.2,Medium,86
,26,36-45,Male,2.3,1.1,Learning,Medium,6,28,7.3,0.4,Low,93
,30,18-25,Female,6.5,2.0,Research,Medium,9,30,7.6,0.7,Medium,85
,31,26-35,Male,7.4,1.0,Coding,High,5,19,6.4,0.9,Medium,77
,21,26-35,Female,5.3,2.5,Problem Solving,Medium,4,17,7.2,1.6,Medium,93
,26,36-45,Female,4.2,2.8,Content Creation,High,9,20,6.8,0.4,Medium,93
,25,36-45,Male,3.6,3.8,Coding,Low,4,16,6.3,0.8,Low,95
,18,18-25,Female,6.2,2.6,Learning,High,4,19,5.1,0.5,High,83
,26,18-25,Male,6.8,3.7,Problem Solving,Low,5,26,7.4,1.4,Medium,93
,20,36-45,Male,6.2,0.7,Coding,Medium,3,24,7.8,1.9,Medium,85
,27,26-35,Male,7.9,1.5,Learning,Medium,8,12,5.5,1.5,High,77
,31,18-25,Male,7.9,2.9,Problem Solving,Medium,8,13,7.0,1.7,Medium,86
,20,36-45,Female,4.6,1.7,Content Creation,Low,5,23,7.8,1.3,Medium,92
,26,18-25,Male,3.2,1.3,Content Creation,Medium,6,14,7.3,1.3,Low,94
,34,26-35,Male,4.8,3.6,Coding,Medium,10,15,7.1,1.6,Medium,95
,19,36-45,Male,3.4,2.8,Coding,Medium,3,25,7.0,1.5,Low,95
,28,36-45,Female,4.0,3.7,Content Creation,Medium,8,28,6.9,0.3,Low,95
,22,18-25,Female,3.9,1.0,Research,High,10,21,6.1,1.9,Low,90
,23,36-45,Female,6.9,2.1,Problem Solving,Medium,10,19,6.3,0.5,Medium,81
,23,26-35,Female,6.8,1.0,Coding,High,3,12,6.1,1.1,Medium,79
,26,18-25,Female,4.2,4.0,Coding,Low,5,17,6.7,1.3,Medium,95
,20,26-35,Female,5.0,1.6,Learning,High,10,19,7.5,1.4,Medium,90
,24,36-45,Female,7.3,2.3,Problem Solving,Medium,7,25,7.7,1.5,Medium,87
,31,36-45,Male,2.4,2.4,Coding,High,7,19,6.1,1.6,Low,95
,31,26-35,Male,6.4,2.2,Research,High,7,26,7.8,0.8,Medium,87
,27,26-35,Male,6.6,2.0,Coding,High,5,26,5.4,1.4,High,83
,28,36-45,Female,6.5,1.8,Problem Solving,High,5,19,7.8,1.2,Medium,86
,19,36-45,Male,5.9,2.0,Problem Solving,Medium,8,15,7.5,1.1,Medium,88
,32,18-25,Male,2.1,3.8,Research,Medium,7,10,6.0,0.3,Low,95
,30,36-45,Female,5.1,0.5,Learning,High,9,28,5.3,1.9,Medium,83
,23,36-45,Female,6.7,3.0,Content Creation,High,6,30,6.7,0.3,Medium,86
,31,26-35,Female,6.9,3.2,Learning,High,4,26,5.1,0.4,High,83
,25,18-25,Female,3.0,2.2,Problem Solving,Medium,3,10,7.9,1.7,Low,95
,23,36-45,Male,4.1,1.6,Research,High,5,22,7.7,0.4,Medium,90
,35,36-45,Male,3.2,4.0,Problem Solving,Medium,7,18,6.2,1.2,Low,95
,33,18-25,Male,7.2,3.5,Problem Solving,High,6,30,7.6,0.1,Medium,87
,24,36-45,Female,4.8,3.4,Learning,Medium,5,16,7.5,0.5,Medium,95
,19,18-25,Male,4.2,3.6,Learning,High,5,13,6.8,1.9,Medium,95
,33,18-25,Female,6.5,3.1,Problem Solving,Low,9,25,5.1,0.8,High,85
,20,36-45,Male,6.7,3.0,Problem Solving,High,5,24,6.2,1.9,Medium,90
,27,36-45,Male,6.2,1.0,Problem Solving,Medium,3,22,7.0,0.9,Medium,82
,24,18-25,Female,3.3,3.1,Research,Low,3,27,7.5,0.9,Low,95
,23,18-25,Male,7.7,2.7,Learning,High,6,18,5.1,1.5,High,82
,35,36-45,Male,4.2,2.8,Coding,High,10,22,6.5,0.3,Medium,92
,32,18-25,Male,7.9,2.5,Problem Solving,High,9,16,5.2,0.8,High,79
,21,18-25,Male,2.6,1.2,Research,Low,3,26,5.8,0.1,Low,88
,27,36-45,Male,5.0,3.1,Problem Solving,Medium,5,27,5.8,0.6,Medium,90
,19,36-45,Female,6.5,1.8,Problem Solving,High,7,24,5.2,0.3,High,79
,29,36-45,Male,7.0,3.6,Problem Solving,High,4,22,7.5,1.5,Medium,92
,23,36-45,Female,6.1,3.7,Content Creation,Low,4,21,7.1,1.7,Medium,95
,20,26-35,Female,6.9,0.5,Coding,Low,10,26,5.4,1.8,High,77
,29,26-35,Male,6.6,1.7,Content Creation,Low,5,15,7.6,0.9,Medium,84
,24,26-35,Female,4.1,3.7,Research,High,5,24,5.9,0.9,Medium,95
,26,36-45,Male,7.7,3.3,Problem Solving,Medium,8,16,6.4,1.8,Medium,88
,21,36-45,Male,2.5,0.5,Research,High,5,26,7.7,0.9,Low,92
,28,18-25,Male,3.6,0.9,Learning,High,7,28,6.9,1.7,Low,91
,18,26-35,Female,6.5,1.8,Research,Medium,4,15,6.3,0.5,Medium,81
,33,18-25,Male,5.8,3.9,Learning,Low,9,26,7.7,1.4,Medium,95
,32,18-25,Male,4.2,2.3,Research,High,3,19,5.2,0.7,Medium,89
,24,18-25,Male,7.9,0.5,Coding,Medium,3,15,6.6,0.6,Medium,73
,34,18-25,Male,7.4,2.2,Content Creation,Medium,9,26,5.3,0.1,High,77
,20,18-25,Male,3.0,1.5,Learning,Low,5,26,5.3,1.9,Low,93
,30,26-35,Male,7.5,1.0,Research,Low,8,27,5.9,1.0,High,76
,19,36-45,Male,6.7,2.6,Coding,High,6,15,7.3,1.8,Medium,90
,20,18-25,Female,4.3,3.6,Problem Solving,Low,6,28,5.6,2.0,Medium,95
,21,36-45,Female,5.9,3.5,Coding,Medium,6,19,7.0,0.5,Medium,91
,31,36-45,Male,4.6,1.8,Learning,Medium,8,25,7.3,1.7,Medium,93
,21,18-25,Female,2.4,1.2,Learning,Medium,5,11,7.1,1.3,Low,95
,22,18-25,Female,4.9,1.6,Content Creation,High,4,17,6.1,0.5,Medium,85
,26,18-25,Female,5.3,3.8,Research,Medium,5,10,5.4,0.6,Medium,91
,25,18-25,Female,7.7,1.8,Problem Solving,High,10,25,5.9,1.1,High,79
,23,18-25,Female,5.8,2.0,Coding,Low,3,24,5.6,1.1,Medium,85
,25,26-35,Male,5.4,1.6,Content Creation,Low,5,25,7.5,0.2,Medium,85
,37,26-35,Female,6.7,3.1,Coding,Low,5,16,6.6,1.0,Medium,88
,23,18-25,Female,3.3,1.5,Content Creation,Low,7,18,7.3,1.6,Low,95
,18,18-25,Male,2.3,2.7,Content Creation,Low,10,22,6.2,1.8,Low,95
,18,26-35,Male,7.1,1.6,Problem Solving,High,9,14,5.4,1.6,High,80
,33,18-25,Male,5.3,1.0,Content Creation,Medium,5,26,5.3,1.3,Medium,82
,29,18-25,Male,5.0,0.6,Problem Solving,High,9,26,7.5,0.9,Medium,85
,22,36-45,Female,5.3,0.7,Problem Solving,Medium,10,11,5.9,1.8,Medium,84
,28,36-45,Female,3.8,0.9,Learning,Low,3,11,7.2,1.6,Low,91
,42,26-35,Female,7.6,3.5,Coding,Low,4,11,6.1,1.0,Medium,86
,31,18-25,Male,7.7,0.9,Problem Solving,Medium,9,26,7.4,0.6,Medium,77
,30,31,Male,6.6,0.7,Research,Low,10,10,5.7,1.0,High,77
,24,26-35,Female,4.3,2.0,Research,Low,6,23,7.2,2.0,Medium,95
,21,26-35,Male,7.6,0.5,Coding,High,4,13,5.8,0.6,High,72
,33,26-35,Female,5.5,1.8,Learning,Low,6,30,7.9,0.4,Medium,87
,32,36-45,Male,7.1,2.7,Research,Low,3,26,6.0,1.2,Medium,85
,21,36-45,Female,6.0,1.6,Research,High,6,20,5.0,1.8,Medium,83
,35,18-25,Female,7.5,1.6,Learning,High,6,13,6.3,0.1,Medium,76
,29,36-45,Male,7.2,1.5,Coding,High,6,16,6.6,0.5,Medium,79
,24,36-45,Male,4.9,1.7,Content Creation,Medium,5,14,7.7,1.2,Medium,91
,29,26-35,Female,3.3,2.1,Content Creation,High,7,25,5.6,1.6,Low,94
,26,36-45,Female,6.0,3.3,Problem Solving,High,3,22,6.9,1.6,Medium,93
,20,26-35,Male,2.9,0.8,Research,Medium,7,10,6.3,1.8,Low,92
,31,18-25,Male,2.4,1.0,Problem Solving,High,9,20,7.3,0.5,Low,92
,26,26-35,Male,7.2,3.7,Coding,Low,5,24,7.4,1.3,Medium,91
,32,36-45,Male,5.6,0.8,Learning,High,3,30,6.9,2.0,Medium,86
,20,18-25,Male,4.0,2.7,Learning,Medium,3,22,6.9,1.2,Low,95
,33,36-45,Male,4.5,2.2,Learning,High,4,22,7.5,0.9,Medium,93
,21,18-25,Female,5.3,0.6,Research,High,9,13,6.4,1.4,Medium,83
,18,36-45,Male,4.3,1.5,Content Creation,Low,4,10,5.4,1.8,Medium,89
,27,26-35,Female,4.4,3.3,Research,Medium,4,25,5.5,0.3,Medium,91
,20,18-25,Male,2.4,3.2,Content Creation,Low,5,23,5.7,0.7,Low,95
,27,36-45,Female,4.3,3.6,Content Creation,High,7,30,5.9,0.3,Medium,94
,33,26-35,Female,5.9,3.0,Content Creation,Low,9,11,7.1,1.8,Medium,93
,34,26-35,Female,3.9,1.2,Research,High,7,26,7.0,0.1,Low,87
,27,18-25,Female,2.1,3.7,Learning,Low,10,23,5.9,1.6,Low,95
,24,26-35,Male,5.6,2.7,Coding,High,8,30,7.4,0.8,Medium,91
,19,18-25,Female,7.2,0.6,Research,High,8,12,5.7,1.5,High,76
,18,26-35,Male,5.7,2.5,Research,Medium,9,14,6.8,1.6,Medium,91
,26,36-45,Male,5.5,3.9,Research,Medium,9,13,5.9,0.6,Medium,92
,24,26-35,Female,3.8,2.4,Problem Solving,Low,8,16,6.0,0.3,Low,91
,32,18-25,Female,4.1,2.9,Content Creation,Low,9,19,5.5,1.7,Medium,95
,30,26-35,Male,4.0,1.6,Problem Solving,Medium,5,12,5.6,0.5,Low,87
,29,26-35,Female,2.9,1.8,Content Creation,Medium,6,22,5.1,0.3,Low,89
,34,36-45,Male,4.0,3.4,Content Creation,Medium,10,21,6.5,1.0,Low,95
,21,26-35,Male,6.4,1.9,Learning,Low,8,24,6.8,1.9,Medium,87
,31,26-35,Female,3.0,1.3,Content Creation,Medium,7,11,6.2,0.2,Low,89
,26,18-25,Male,2.7,3.7,Learning,High,4,26,6.3,1.6,Low,95
,28,26-35,Female,2.6,2.5,Problem Solving,Medium,10,13,7.4,1.2,Low,95
,20,26-35,Male,4.7,3.7,Learning,Medium,4,12,5.7,0.5,Medium,93
,27,36-45,Female,7.5,2.8,Problem Solving,Medium,4,29,7.0,0.3,Medium,83
,20,18-25,Male,3.2,2.7,Learning,Medium,7,20,6.3,1.4,Low,95
,27,36-45,Male,4.6,3.1,Research,Low,3,20,7.0,1.2,Medium,95
,23,26-35,Female,5.4,2.2,Problem Solving,Medium,8,11,5.5,0.0,Medium,83
,26,36-45,Female,7.6,3.2,Research,Low,7,21,7.7,0.2,Medium,86
,18,18-25,Male,4.3,3.3,Coding,High,5,26,5.7,0.2,Medium,92
,35,26-35,Female,3.0,0.6,Problem Solving,Low,5,19,6.5,0.8,Low,88
,32,36-45,Female,3.4,1.2,Problem Solving,Low,4,28,7.2,1.1,Low,92
,23,26-35,Female,5.4,2.2,Problem Solving,Medium,8,11,5.5,0.0,Medium,83
